port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Antwerp,2017,8,388,105,2751.799146,7.092265840206185,26.20761091428571,0.2706185567010309
Antwerp,2017,9,372,84,1926.0408636,5.177529203225807,22.9290579,0.2258064516129032
Antwerp,2017,10,391,75,1327.638662,3.395495299232737,17.70184882666667,0.1918158567774936
Antwerp,2017,11,378,61,972.3062695,2.572238808201058,15.93944704098361,0.1613756613756614
Antwerp,2017,12,356,69,1215.022146,3.412983556179775,17.60901660869565,0.1938202247191011
Antwerp,2018,1,398,76,1530.6891158,3.845952552261307,20.14064626052632,0.1909547738693467
Antwerp,2018,2,372,59,1285.3054759,3.455122247043011,21.78483857457627,0.1586021505376344
Antwerp,2018,3,409,77,1624.9361138,3.972948933496332,21.10306641298701,0.1882640586797066
Antwerp,2018,4,398,76,1769.1740547,4.445160941457286,23.27860598289474,0.1909547738693467
Antwerp,2018,5,428,78,1597.7140331,3.732976712850467,20.48351324487179,0.1822429906542056
Antwerp,2018,6,401,77,1529.6635544,3.814622330174564,19.86576044675325,0.1920199501246883
Antwerp,2018,7,421,80,1810.248453,4.299877560570071,22.6281056625,0.1900237529691211
Antwerp,2018,8,429,74,1427.879219,3.328389787878788,19.29566512162162,0.1724941724941725
Antwerp,2018,9,415,92,1971.1608591,4.749785202650602,21.42566151195652,0.2216867469879518
Antwerp,2018,10,449,60,1189.0797335,2.6482844844098,19.81799555833333,0.133630289532294
Antwerp,2018,11,402,49,880.72556027,2.190859602661691,17.97399102591837,0.1218905472636816
Antwerp,2018,12,401,59,1043.4647209,2.602156411221945,17.68584272711864,0.1471321695760598
Antwerp,2019,1,442,80,1619.4627646,3.663942906334841,20.2432845575,0.1809954751131222
Antwerp,2019,2,386,69,1590.0313823,4.119252285751296,23.04393307681159,0.1787564766839378
Antwerp,2019,3,412,86,1887.30693343,4.580842071432039,21.94542945848837,0.2087378640776699
Antwerp,2019,4,430,62,1126.6244538,2.620056869302326,18.17136215806452,0.1441860465116279
Antwerp,2019,5,429,61,1178.9799982,2.748205124009324,19.32754095409836,0.1421911421911422
